Country/territory of asylum/residence,Origin,"Country/territory of asylum (earlier) (only applicable for returned refugees)",Type of population,Population,of whom assisted by UNHCR
Albania,Syrian Arab Rep.,,Total Refugee and people in refugee-like situations,0,0
Albania,Syrian Arab Rep.,,Total population of concern,0,0
Albania,The former Yugoslav Republic of Macedonia,,Total Refugee and people in refugee-like situations,0,0
Albania,The former Yugoslav Republic of Macedonia,,Total population of concern,0,0
Albania,Turkey,,Total Refugee and people in refugee-like situations,0,0
Albania,Turkey,,Asylum-seekers,0,0
Albania,Turkey,,Total population of concern,0,0
Albania,Ukraine,,Total Refugee and people in refugee-like situations,0,0
Albania,Ukraine,,Asylum-seekers,0,0
Albania,Ukraine,,Total population of concern,0,0
Albania,Uzbekistan,,Total Refugee and people in refugee-like situations,0,0
Albania,Uzbekistan,,Total population of concern,0,0
Algeria,Afghanistan,,Total Refugee and people in refugee-like situations,0,0
Algeria,Afghanistan,,Total population of concern,0,0
Algeria,Benin,,Asylum-seekers,0,0
Algeria,Benin,,Total population of concern,0,0
Algeria,Burkina Faso,,Asylum-seekers,0,0
Algeria,Burkina Faso,,Total population of concern,0,0
Algeria,Burundi,,Total Refugee and people in refugee-like situations,0,0
Algeria,Burundi,,Total population of concern,0,0
Algeria,Cameroon,,Total Refugee and people in refugee-like situations,13,13
Algeria,Cameroon,,Asylum-seekers,23,23
Algeria,Cameroon,,Total population of concern,36,36
Algeria,Central African Rep.,,Total Refugee and people in refugee-like situations,49,49
Algeria,Central African Rep.,,Asylum-seekers,32,32
Algeria,Central African Rep.,,Total population of concern,81,81
Algeria,Chad,,Total Refugee and people in refugee-like situations,0,0
Algeria,Chad,,Total population of concern,0,0
Algeria,"Congo, Republic of",,Asylum-seekers,5,5
Algeria,"Congo, Republic of",,Total population of concern,5,5
Algeria,Côte d'Ivoire,,Total Refugee and people in refugee-like situations,36,36
Algeria,Côte d'Ivoire,,Asylum-seekers,33,33
Algeria,Côte d'Ivoire,,Total population of concern,69,69
Algeria,Dem. Rep. of the Congo,,Total Refugee and people in refugee-like situations,45,45
Algeria,Dem. Rep. of the Congo,,Asylum-seekers,50,50
Algeria,Dem. Rep. of the Congo,,Total population of concern,95,95
Algeria,Eritrea,,Total Refugee and people in refugee-like situations,0,0
Algeria,Eritrea,,Total population of concern,0,0
Algeria,Guinea,,Total Refugee and people in refugee-like situations,0,0
Algeria,Guinea,,Asylum-seekers,19,19
Algeria,Guinea,,Total population of concern,23,23
Algeria,Iraq,,Total Refugee and people in refugee-like situations,13,13
Algeria,Iraq,,Asylum-seekers,0,0
Algeria,Iraq,,Total population of concern,16,16
Algeria,Jordan,,Asylum-seekers,0,0
Algeria,Jordan,,Total population of concern,0,0
Algeria,Lebanon,,Asylum-seekers,12,12
Algeria,Lebanon,,Total population of concern,12,12
Algeria,Liberia,,Total Refugee and people in refugee-like situations,0,0
Algeria,Liberia,,Total population of concern,0,0
Algeria,Libya,,Total Refugee and people in refugee-like situations,15,15
Algeria,Libya,,Asylum-seekers,15,15
Algeria,Libya,,Total population of concern,30,30
Algeria,Mali,,Total Refugee and people in refugee-like situations,34,34
Algeria,Mali,,Asylum-seekers,28,28
Algeria,Mali,,Total population of concern,62,62
Algeria,Mauritania,,Total Refugee and people in refugee-like situations,0,0
Algeria,Mauritania,,Asylum-seekers,0,0
Algeria,Mauritania,,Total population of concern,0,0
Algeria,Niger,,Asylum-seekers,0,0
Algeria,Niger,,Total population of concern,0,0
Algeria,Nigeria,,Total Refugee and people in refugee-like situations,0,0
Algeria,Nigeria,,Asylum-seekers,0,0
Algeria,Nigeria,,Total population of concern,0,0
Algeria,Palestinian,,Total Refugee and people in refugee-like situations,4015,10
Algeria,Palestinian,,Asylum-seekers,34,34
Algeria,Palestinian,,Total population of concern,4049,44
Algeria,Senegal,,Total Refugee and people in refugee-like situations,0,0
Algeria,Senegal,,Asylum-seekers,0,0
Algeria,Senegal,,Total population of concern,0,0
Algeria,Somalia,,Total Refugee and people in refugee-like situations,0,0
Algeria,Somalia,,Total population of concern,0,0
Algeria,Stateless,,Asylum-seekers,0,0
Algeria,Stateless,,Total population of concern,0,0
Algeria,Sudan,,Total Refugee and people in refugee-like situations,0,0
Algeria,Sudan,,Asylum-seekers,0,0
Algeria,Sudan,,Total population of concern,5,5
Algeria,Syrian Arab Rep.,,Asylum-seekers,5571,5571
Algeria,Syrian Arab Rep.,,Total population of concern,5571,5571
Algeria,Togo,,Total Refugee and people in refugee-like situations,0,0
Algeria,Togo,,Total population of concern,0,0
Algeria,Tunisia,,Asylum-seekers,0,0
Algeria,Tunisia,,Total population of concern,0,0
Algeria,United States of America,,Asylum-seekers,0,0
Algeria,United States of America,,Total population of concern,0,0
Algeria,Western Sahara,,Total Refugee and people in refugee-like situations,90000,90000
Algeria,Western Sahara,,Total population of concern,90000,90000
Algeria,Yemen,,Total Refugee and people in refugee-like situations,6,6
Algeria,Yemen,,Asylum-seekers,147,147
Algeria,Yemen,,Total population of concern,153,153
Angola,Afghanistan,,Asylum-seekers,0,0
Angola,Afghanistan,,Total population of concern,0,0
Angola,Algeria,,Total Refugee and people in refugee-like situations,0,0
Angola,Algeria,,Total population of concern,0,0
Angola,Burundi,,Total Refugee and people in refugee-like situations,9,0
Angola,Burundi,,Asylum-seekers,94,0
Angola,Burundi,,Total population of concern,103,0
Angola,Cameroon,,Total Refugee and people in refugee-like situations,0,0
Angola,Cameroon,,Total population of concern,0,0
Angola,Central African Rep.,,Total Refugee and people in refugee-like situations,9,0
Angola,Central African Rep.,,Asylum-seekers,76,0
Angola,Central African Rep.,,Total population of concern,85,0
Angola,Chad,,Total Refugee and people in refugee-like situations,184,0
Angola,Chad,,Asylum-seekers,780,0
Angola,Chad,,Total population of concern,964,0
Angola,"Congo, Republic of",,Total Refugee and people in refugee-like situations,0,0
Angola,"Congo, Republic of",,Asylum-seekers,58,0
Angola,"Congo, Republic of",,Total population of concern,62,0
Angola,Côte d'Ivoire,,Total Refugee and people in refugee-like situations,510,0
Angola,Côte d'Ivoire,,Asylum-seekers,5938,0
Angola,Côte d'Ivoire,,Total population of concern,6448,0
Angola,Dem. People's Rep. of Korea,,Asylum-seekers,0,0
Angola,Dem. People's Rep. of Korea,,Total population of concern,0,0
Angola,Dem. Rep. of the Congo,,Total Refugee and people in refugee-like situations,45621,32805
Angola,Dem. Rep. of the Congo,,Asylum-seekers,500,0
Angola,Dem. Rep. of the Congo,,Total population of concern,46121,32805
Angola,Djibouti,,Asylum-seekers,0,0
Angola,Djibouti,,Total population of concern,0,0
Angola,Eritrea,,Total Refugee and people in refugee-like situations,34,0
Angola,Eritrea,,Asylum-seekers,1767,0
Angola,Eritrea,,Total population of concern,1801,0
Angola,Ethiopia,,Total Refugee and people in refugee-like situations,0,0
Angola,Ethiopia,,Asylum-seekers,57,0
Angola,Ethiopia,,Total population of concern,58,0
Angola,Gambia,,Asylum-seekers,0,0
Angola,Gambia,,Total population of concern,0,0
Angola,Guinea,,Total Refugee and people in refugee-like situations,107,0
Angola,Guinea,,Asylum-seekers,9145,0
Angola,Guinea,,Total population of concern,9252,0
Angola,Guinea-Bissau,,Total Refugee and people in refugee-like situations,0,0
Angola,Guinea-Bissau,,Asylum-seekers,268,0
Angola,Guinea-Bissau,,Total population of concern,269,0
Angola,Haiti,,Total Refugee and people in refugee-like situations,0,0
Angola,Haiti,,Asylum-seekers,0,0
Angola,Haiti,,Total population of concern,0,0
Angola,Iraq,,Asylum-seekers,0,0
Angola,Iraq,,Total population of concern,0,0
Angola,Liberia,,Total Refugee and people in refugee-like situations,155,0
Angola,Liberia,,Asylum-seekers,478,0
Angola,Liberia,,Total population of concern,633,0
Angola,Libya,,Total Refugee and people in refugee-like situations,0,0
Angola,Libya,,Total population of concern,0,0
Angola,Mali,,Total Refugee and people in refugee-like situations,0,0
Angola,Mali,,Asylum-seekers,0,0
Angola,Mali,,Total population of concern,0,0
Angola,Mauritania,,Total Refugee and people in refugee-like situations,306,0
Angola,Mauritania,,Asylum-seekers,5403,0
Angola,Mauritania,,Total population of concern,5709,0
Angola,Mauritius,,Asylum-seekers,0,0
Angola,Mauritius,,Total population of concern,0,0
Angola,Nigeria,,Asylum-seekers,0,0
Angola,Nigeria,,Total population of concern,0,0
Angola,Rwanda,,Total Refugee and people in refugee-like situations,273,0
Angola,Rwanda,,Asylum-seekers,67,0
Angola,Rwanda,,Total population of concern,340,0
Angola,Senegal,,Asylum-seekers,0,0
Angola,Senegal,,Total population of concern,0,0
Angola,Sierra Leone,,Total Refugee and people in refugee-like situations,374,0
Angola,Sierra Leone,,Asylum-seekers,1497,0
Angola,Sierra Leone,,Total population of concern,1871,0
Angola,Somalia,,Total Refugee and people in refugee-like situations,288,0
Angola,Somalia,,Asylum-seekers,1731,0
Angola,Somalia,,Total population of concern,2019,0
Angola,South Africa,,Total Refugee and people in refugee-like situations,0,0
Angola,South Africa,,Total population of concern,0,0
Angola,Sudan,,Total Refugee and people in refugee-like situations,313,0
Angola,Sudan,,Asylum-seekers,1670,0
Angola,Sudan,,Total population of concern,1983,0
Angola,Togo,,Total Refugee and people in refugee-like situations,0,0
Angola,Togo,,Total population of concern,0,0
Angola,Turkey,,Asylum-seekers,49,49
Angola,Turkey,,Total population of concern,49,49
Angola,Uganda,,Total Refugee and people in refugee-like situations,6,0
Angola,Uganda,,Asylum-seekers,6,0
Angola,Uganda,,Total population of concern,12,0
Angola,United Rep. of Tanzania,,Total Refugee and people in refugee-like situations,0,0
Angola,United Rep. of Tanzania,,Total population of concern,0,0
Angola,Western Sahara,,Total Refugee and people in refugee-like situations,18,0
Angola,Western Sahara,,Asylum-seekers,596,0
Angola,Western Sahara,,Total population of concern,614,0
Angola,Zambia,,Total Refugee and people in refugee-like situations,7,0
Angola,Zambia,,Asylum-seekers,0,0
Angola,Zambia,,Total population of concern,8,0
Angola,Zimbabwe,,Asylum-seekers,0,0
Angola,Zimbabwe,,Total population of concern,0,0
Anguilla,Syrian Arab Rep.,,Total Refugee and people in refugee-like situations,0,0
Anguilla,Syrian Arab Rep.,,Total population of concern,0,0
Antigua and Barbuda,Syrian Arab Rep.,,Total Refugee and people in refugee-like situations,0,0
Antigua and Barbuda,Syrian Arab Rep.,,Total population of concern,0,0
Argentina,Afghanistan,,Total Refugee and people in refugee-like situations,5,0
Argentina,Afghanistan,,Asylum-seekers,0,0
Argentina,Afghanistan,,Total population of concern,7,0
Argentina,Albania,,Total Refugee and people in refugee-like situations,18,0
Argentina,Albania,,Total population of concern,18,0
Argentina,Algeria,,Total Refugee and people in refugee-like situations,30,0
Argentina,Algeria,,Asylum-seekers,0,0
Argentina,Algeria,,Total population of concern,33,0
Argentina,Angola,,Total Refugee and people in refugee-like situations,14,0
Argentina,Angola,,Asylum-seekers,10,0
Argentina,Angola,,Total population of concern,24,0
Argentina,Armenia,,Total Refugee and people in refugee-like situations,79,0
Argentina,Armenia,,Asylum-seekers,132,0
Argentina,Armenia,,Total population of concern,211,0
Argentina,Bangladesh,,Total Refugee and people in refugee-like situations,5,0
Argentina,Bangladesh,,Asylum-seekers,67,0
Argentina,Bangladesh,,Total population of concern,72,0
Argentina,Belarus,,Total Refugee and people in refugee-like situations,0,0
Argentina,Belarus,,Total population of concern,0,0
Argentina,Benin,,Total Refugee and people in refugee-like situations,0,0
Argentina,Benin,,Total population of concern,0,0
Argentina,Bolivia (Plurinational State of),,Total Refugee and people in refugee-like situations,0,0
Argentina,Bolivia (Plurinational State of),,Asylum-seekers,0,0
Argentina,Bolivia (Plurinational State of),,Total population of concern,5,0
Argentina,Bosnia and Herzegovina,,Total Refugee and people in refugee-like situations,6,0
Argentina,Bosnia and Herzegovina,,Total population of concern,6,0
Argentina,Brazil,,Total Refugee and people in refugee-like situations,0,0
Argentina,Brazil,,Asylum-seekers,0,0
Argentina,Brazil,,Total population of concern,5,0
Argentina,Bulgaria,,Total Refugee and people in refugee-like situations,0,0
Argentina,Bulgaria,,Asylum-seekers,0,0
Argentina,Bulgaria,,Total population of concern,0,0
Argentina,Burkina Faso,,Asylum-seekers,0,0
Argentina,Burkina Faso,,Total population of concern,0,0
Argentina,Burundi,,Total Refugee and people in refugee-like situations,0,0
Argentina,Burundi,,Asylum-seekers,0,0
Argentina,Burundi,,Total population of concern,0,0
Argentina,Cabo Verde,,Asylum-seekers,0,0
Argentina,Cabo Verde,,Total population of concern,0,0
Argentina,Cameroon,,Total Refugee and people in refugee-like situations,6,0
Argentina,Cameroon,,Asylum-seekers,32,7
Argentina,Cameroon,,Total population of concern,38,7
Argentina,Central African Rep.,,Total Refugee and people in refugee-like situations,0,0
Argentina,Central African Rep.,,Asylum-seekers,0,0
Argentina,Central African Rep.,,Total population of concern,0,0
Argentina,Chad,,Total Refugee and people in refugee-like situations,0,0
Argentina,Chad,,Total population of concern,0,0
Argentina,Chile,,Total Refugee and people in refugee-like situations,34,0
Argentina,Chile,,Asylum-seekers,7,0
Argentina,Chile,,Total population of concern,41,0
Argentina,China,,Total Refugee and people in refugee-like situations,0,0
Argentina,China,,Asylum-seekers,46,0
Argentina,China,,Total population of concern,48,0
Argentina,Colombia,,Total Refugee and people in refugee-like situations,544,0
Argentina,Colombia,,Asylum-seekers,178,6
Argentina,Colombia,,Total population of concern,722,6
Argentina,"Congo, Republic of",,Total Refugee and people in refugee-like situations,0,0
Argentina,"Congo, Republic of",,Asylum-seekers,0,0
Argentina,"Congo, Republic of",,Total population of concern,0,0
Argentina,Costa Rica,,Total Refugee and people in refugee-like situations,5,0
Argentina,Costa Rica,,Asylum-seekers,0,0
Argentina,Costa Rica,,Total population of concern,6,0
Argentina,Côte d'Ivoire,,Total Refugee and people in refugee-like situations,20,0
Argentina,Côte d'Ivoire,,Asylum-seekers,5,0
Argentina,Côte d'Ivoire,,Total population of concern,25,0
Argentina,Croatia,,Total Refugee and people in refugee-like situations,0,0
Argentina,Croatia,,Total population of concern,0,0
Argentina,Cuba,,Total Refugee and people in refugee-like situations,256,0
Argentina,Cuba,,Asylum-seekers,603,0
Argentina,Cuba,,Total population of concern,859,0
Argentina,Czechia,,Asylum-seekers,0,0
Argentina,Czechia,,Total population of concern,0,0
Argentina,Dem. Rep. of the Congo,,Total Refugee and people in refugee-like situations,23,0
Argentina,Dem. Rep. of the Congo,,Asylum-seekers,20,0
Argentina,Dem. Rep. of the Congo,,Total population of concern,43,0
Argentina,Dominican Rep.,,Total Refugee and people in refugee-like situations,0,0
Argentina,Dominican Rep.,,Asylum-seekers,222,0
Argentina,Dominican Rep.,,Total population of concern,223,0
Argentina,Ecuador,,Total Refugee and people in refugee-like situations,17,0
Argentina,Ecuador,,Asylum-seekers,0,0
Argentina,Ecuador,,Total population of concern,20,0
Argentina,Egypt,,Total Refugee and people in refugee-like situations,0,0
Argentina,Egypt,,Asylum-seekers,6,0
Argentina,Egypt,,Total population of concern,10,0
Argentina,El Salvador,,Total Refugee and people in refugee-like situations,21,0
Argentina,El Salvador,,Asylum-seekers,25,0
Argentina,El Salvador,,Total population of concern,46,0
Argentina,Equatorial Guinea,,Asylum-seekers,0,0
Argentina,Equatorial Guinea,,Total population of concern,0,0
Argentina,Eritrea,,Total Refugee and people in refugee-like situations,0,0
Argentina,Eritrea,,Asylum-seekers,0,0
Argentina,Eritrea,,Total population of concern,0,0
Argentina,Ethiopia,,Total Refugee and people in refugee-like situations,0,0
Argentina,Ethiopia,,Total population of concern,0,0
Argentina,Gambia,,Total Refugee and people in refugee-like situations,0,0
Argentina,Gambia,,Asylum-seekers,5,0
Argentina,Gambia,,Total population of concern,6,0
Argentina,Georgia,,Total Refugee and people in refugee-like situations,0,0
Argentina,Georgia,,Asylum-seekers,0,0
Argentina,Georgia,,Total population of concern,0,0
Argentina,Germany,,Asylum-seekers,0,0
Argentina,Germany,,Total population of concern,0,0
Argentina,Ghana,,Total Refugee and people in refugee-like situations,40,0
Argentina,Ghana,,Asylum-seekers,123,8
Argentina,Ghana,,Total population of concern,163,8
Argentina,Greece,,Asylum-seekers,0,0
Argentina,Greece,,Total population of concern,0,0
Argentina,Guatemala,,Total Refugee and people in refugee-like situations,0,0
Argentina,Guatemala,,Total population of concern,0,0
Argentina,Guinea,,Total Refugee and people in refugee-like situations,9,0
Argentina,Guinea,,Asylum-seekers,14,0
Argentina,Guinea,,Total population of concern,23,0
Argentina,Guinea-Bissau,,Total Refugee and people in refugee-like situations,8,0
Argentina,Guinea-Bissau,,Asylum-seekers,5,0
Argentina,Guinea-Bissau,,Total population of concern,13,0
Argentina,Guyana,,Asylum-seekers,0,0
Argentina,Guyana,,Total population of concern,0,0
Argentina,Haiti,,Total Refugee and people in refugee-like situations,67,0
Argentina,Haiti,,Asylum-seekers,459,54
Argentina,Haiti,,Total population of concern,526,55
Argentina,Honduras,,Total Refugee and people in refugee-like situations,0,0
Argentina,Honduras,,Asylum-seekers,0,0
Argentina,Honduras,,Total population of concern,6,0
Argentina,Hungary,,Total Refugee and people in refugee-like situations,0,0
Argentina,Hungary,,Asylum-seekers,8,0
Argentina,Hungary,,Total population of concern,9,0
Argentina,India,,Total Refugee and people in refugee-like situations,22,0
Argentina,India,,Asylum-seekers,121,0
Argentina,India,,Total population of concern,143,0
Argentina,Iran (Islamic Rep. of),,Total Refugee and people in refugee-like situations,23,0
Argentina,Iran (Islamic Rep. of),,Asylum-seekers,0,0
Argentina,Iran (Islamic Rep. of),,Total population of concern,23,0
Argentina,Iraq,,Total Refugee and people in refugee-like situations,22,0
Argentina,Iraq,,Asylum-seekers,0,0
Argentina,Iraq,,Total population of concern,25,0
Argentina,Israel,,Asylum-seekers,0,0
Argentina,Israel,,Total population of concern,0,0
Argentina,Italy,,Total Refugee and people in refugee-like situations,0,0
Argentina,Italy,,Asylum-seekers,0,0
Argentina,Italy,,Total population of concern,0,0
Argentina,Jamaica,,Asylum-seekers,6,5
Argentina,Jamaica,,Total population of concern,6,5
Argentina,Jordan,,Total Refugee and people in refugee-like situations,0,0
Argentina,Jordan,,Total population of concern,0,0
Argentina,Kazakhstan,,Total Refugee and people in refugee-like situations,18,0
Argentina,Kazakhstan,,Asylum-seekers,0,0
Argentina,Kazakhstan,,Total population of concern,21,0
Argentina,Kuwait,,Asylum-seekers,0,0
Argentina,Kuwait,,Total population of concern,0,0
Argentina,Kyrgyzstan,,Total Refugee and people in refugee-like situations,0,0
Argentina,Kyrgyzstan,,Total population of concern,0,0
Argentina,Lebanon,,Total Refugee and people in refugee-like situations,0,0
Argentina,Lebanon,,Asylum-seekers,0,0
Argentina,Lebanon,,Total population of concern,0,0
Argentina,Liberia,,Total Refugee and people in refugee-like situations,45,0
Argentina,Liberia,,Asylum-seekers,0,0
Argentina,Liberia,,Total population of concern,47,0
Argentina,Libya,,Asylum-seekers,0,0
Argentina,Libya,,Total population of concern,0,0
Argentina,Malaysia,,Asylum-seekers,0,0
Argentina,Malaysia,,Total population of concern,0,0
Argentina,Mali,,Total Refugee and people in refugee-like situations,9,0
Argentina,Mali,,Asylum-seekers,0,0
Argentina,Mali,,Total population of concern,10,0
Argentina,Mauritania,,Total Refugee and people in refugee-like situations,0,0
Argentina,Mauritania,,Asylum-seekers,0,0
Argentina,Mauritania,,Total population of concern,0,0
Argentina,Mexico,,Total Refugee and people in refugee-like situations,0,0
Argentina,Mexico,,Asylum-seekers,0,0
Argentina,Mexico,,Total population of concern,0,0
Argentina,Morocco,,Total Refugee and people in refugee-like situations,0,0
Argentina,Morocco,,Asylum-seekers,8,0
Argentina,Morocco,,Total population of concern,10,0
Argentina,Nepal,,Asylum-seekers,0,0
Argentina,Nepal,,Total population of concern,0,0
Argentina,Nicaragua,,Total Refugee and people in refugee-like situations,0,0
Argentina,Nicaragua,,Total population of concern,0,0
Argentina,Nigeria,,Total Refugee and people in refugee-like situations,41,0
Argentina,Nigeria,,Asylum-seekers,79,0
Argentina,Nigeria,,Total population of concern,120,0
Argentina,Pakistan,,Total Refugee and people in refugee-like situations,32,0
Argentina,Pakistan,,Asylum-seekers,22,0
Argentina,Pakistan,,Total population of concern,54,0
Argentina,Palestinian,,Total Refugee and people in refugee-like situations,6,0
Argentina,Palestinian,,Asylum-seekers,10,0
Argentina,Palestinian,,Total population of concern,16,0
Argentina,Paraguay,,Total Refugee and people in refugee-like situations,8,0
Argentina,Paraguay,,Asylum-seekers,11,0
Argentina,Paraguay,,Total population of concern,19,0
Argentina,Peru,,Total Refugee and people in refugee-like situations,547,0
Argentina,Peru,,Asylum-seekers,64,0
Argentina,Peru,,Total population of concern,611,0
Argentina,Philippines,,Total Refugee and people in refugee-like situations,0,0
Argentina,Philippines,,Asylum-seekers,0,0
Argentina,Philippines,,Total population of concern,6,0
Argentina,Portugal,,Asylum-seekers,0,0
Argentina,Portugal,,Total population of concern,0,0
Argentina,Romania,,Total Refugee and people in refugee-like situations,51,0
Argentina,Romania,,Asylum-seekers,81,0
Argentina,Romania,,Total population of concern,132,0
Argentina,Russian Federation,,Total Refugee and people in refugee-like situations,66,0
Argentina,Russian Federation,,Asylum-seekers,68,0
Argentina,Russian Federation,,Total population of concern,134,5
Argentina,Rwanda,,Total Refugee and people in refugee-like situations,0,0
Argentina,Rwanda,,Total population of concern,0,0
Argentina,Senegal,,Total Refugee and people in refugee-like situations,42,0
Argentina,Senegal,,Asylum-seekers,1084,0
Argentina,Senegal,,Total population of concern,1126,0
Argentina,Serbia and Kosovo: S/RES/1244 (1999),,Total Refugee and people in refugee-like situations,0,0
Argentina,Serbia and Kosovo: S/RES/1244 (1999),,Asylum-seekers,0,0
Argentina,Serbia and Kosovo: S/RES/1244 (1999),,Total population of concern,0,0
Argentina,Sierra Leone,,Total Refugee and people in refugee-like situations,37,0
Argentina,Sierra Leone,,Asylum-seekers,10,0
Argentina,Sierra Leone,,Total population of concern,47,0
Argentina,Singapore,,Asylum-seekers,0,0
Argentina,Singapore,,Total population of concern,0,0
Argentina,Slovakia,,Asylum-seekers,0,0
Argentina,Slovakia,,Total population of concern,0,0
Argentina,Somalia,,Total Refugee and people in refugee-like situations,5,0
Argentina,Somalia,,Asylum-seekers,0,0
Argentina,Somalia,,Total population of concern,6,0
Argentina,South Africa,,Total Refugee and people in refugee-like situations,0,0
Argentina,South Africa,,Asylum-seekers,9,0
Argentina,South Africa,,Total population of concern,10,0
Argentina,Spain,,Asylum-seekers,8,0
Argentina,Spain,,Total population of concern,8,0
Argentina,Sri Lanka,,Total Refugee and people in refugee-like situations,37,0
Argentina,Sri Lanka,,Total population of concern,37,0
Argentina,Stateless,,Total Refugee and people in refugee-like situations,6,0
Argentina,Stateless,,Asylum-seekers,8,0
Argentina,Stateless,,Total population of concern,14,0
Argentina,Sudan,,Total Refugee and people in refugee-like situations,0,0
Argentina,Sudan,,Asylum-seekers,0,0
Argentina,Sudan,,Total population of concern,0,0
Argentina,Switzerland,,Asylum-seekers,0,0
Argentina,Switzerland,,Total population of concern,0,0
Argentina,Syrian Arab Rep.,,Total Refugee and people in refugee-like situations,369,0
Argentina,Syrian Arab Rep.,,Asylum-seekers,70,6
Argentina,Syrian Arab Rep.,,Others of concern to UNHCR,396,0
Argentina,Syrian Arab Rep.,,Total population of concern,835,6
Argentina,Thailand,,Asylum-seekers,0,0
Argentina,Thailand,,Total population of concern,0,0
Argentina,The former Yugoslav Republic of Macedonia,,Total Refugee and people in refugee-like situations,9,0
Argentina,The former Yugoslav Republic of Macedonia,,Asylum-seekers,0,0
Argentina,The former Yugoslav Republic of Macedonia,,Total population of concern,10,0
Argentina,Togo,,Total Refugee and people in refugee-like situations,0,0
Argentina,Togo,,Asylum-seekers,0,0
Argentina,Togo,,Total population of concern,0,0
Argentina,Tunisia,,Total Refugee and people in refugee-like situations,0,0
Argentina,Tunisia,,Asylum-seekers,0,0
Argentina,Tunisia,,Total population of concern,0,0
Argentina,Turkey,,Total Refugee and people in refugee-like situations,14,0
Argentina,Turkey,,Asylum-seekers,36,0
Argentina,Turkey,,Total population of concern,50,0
Argentina,Turkmenistan,,Total Refugee and people in refugee-like situations,0,0
Argentina,Turkmenistan,,Total population of concern,0,0
Argentina,Ukraine,,Total Refugee and people in refugee-like situations,94,0
Argentina,Ukraine,,Asylum-seekers,164,0
Argentina,Ukraine,,Total population of concern,258,0
Argentina,United Kingdom,,Asylum-seekers,0,0
Argentina,United Kingdom,,Total population of concern,0,0
